2025-11-04 11:32:19.203978 | 127.0.0.1 | /
2025-11-04 11:32:52.401082 | 127.0.0.1 | /predict
2025-11-04 11:33:24.826198 | 127.0.0.1 | /
2025-11-04 11:40:50.399311 | 127.0.0.1 | /predict
2025-11-04 11:40:56.868907 | 127.0.0.1 | /dashboard
2025-11-04 11:41:04.188053 | 127.0.0.1 | /dashboard
2025-11-04 11:44:02.649968 | 127.0.0.1 | /dashboard
2025-11-04 11:48:29.302400 | 127.0.0.1 | /dashboard
2025-11-04 11:49:11.151791 | 127.0.0.1 | /
2025-11-04 11:50:12.784104 | 127.0.0.1 | /dashboard
2025-11-04 11:51:36.015679 | 127.0.0.1 | /dashboard
2025-11-04 11:52:04.204713 | 127.0.0.1 | /dashboard
2025-11-04 11:55:29.217767 | 127.0.0.1 | /dashboard
2025-11-04 11:56:18.868692 | 127.0.0.1 | /dashboard
2025-11-04 11:56:23.597515 | 127.0.0.1 | /dashboard
2025-11-04 11:57:10.788506 | 127.0.0.1 | /dashboard
2025-11-04 11:58:11.285328 | 127.0.0.1 | /dashboard
2025-11-04 11:59:12.895742 | 127.0.0.1 | /dashboard
2025-11-04 12:00:14.160947 | 127.0.0.1 | /dashboard
2025-11-04 12:01:15.630495 | 127.0.0.1 | /dashboard
2025-11-04 12:02:17.271234 | 127.0.0.1 | /dashboard
2025-11-04 12:03:18.794453 | 127.0.0.1 | /dashboard
2025-11-04 12:13:19.485147 | 127.0.0.1 | /dashboard
2025-11-04 12:14:21.872746 | 127.0.0.1 | /dashboard
2025-11-04 12:15:23.383960 | 127.0.0.1 | /dashboard
2025-11-04 12:16:23.930187 | 127.0.0.1 | /dashboard
2025-11-04 12:17:24.516292 | 127.0.0.1 | /dashboard
2025-11-04 12:18:25.235579 | 127.0.0.1 | /dashboard
